,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1747,Sun,2017-09-24,12:00,Espanyol,3.1,4–1,1.7,La Coruña,19585.0,RCDE Stadium,Ricardo de Burgos
1748,Sun,2017-09-24,16:15,Getafe,2.3,4–0,0.8,Villarreal,10874.0,Coliseum Alfonso Pérez,Ignacio Iglesias
1749,Sun,2017-09-24,17:30,Las Palmas,0.6,0–2,1.2,Leganés,17560.0,Estadio de Gran Canaria,Alberola Rojas
1750,Sun,2017-09-24,18:30,Eibar,0.9,0–4,1.6,Celta Vigo,5345.0,Estadio Municipal de Ipurúa,David Fernández
1751,Sun,2017-09-24,20:45,Real Sociedad,0.9,2–3,1.7,Valencia,20266.0,Estadio Municipal de Anoeta,Santiago Jaime
1752,Mon,2017-09-25,21:00,Betis,2.3,4–0,0.5,Levante,48237.0,Estadio Benito Villamarín,Pablo González
1754,Fri,2017-09-29,21:00,Celta Vigo,2.4,3–3,1.7,Girona,16126.0,Estadio de Balaídos,Pablo González
1755,Sat,2017-09-30,13:00,La Coruña,1.8,2–1,1.5,Getafe,19323.0,Estadio Municipal de Riazor,Javier Estrada
1756,Sat,2017-09-30,16:15,Sevilla,2.0,2–0,0.5,Málaga,34430.0,Estadio Ramón Sánchez Pizjuán,Daniel Trujillo
1757,Sat,2017-09-30,18:30,Levante,1.0,0–2,2.3,Alavés,18528.0,Estadio Ciudad de Valencia,David Fernández
1758,Sat,2017-09-30,20:45,Leganés,0.5,0–0,1.1,Atlético Madrid,11454.0,Estadio Municipal de Butarque,Jesús Gil
1759,Sun,2017-10-01,12:00,Real Sociedad,1.8,4–4,1.6,Betis,19669.0,Estadio Municipal de Anoeta,Alfonso Álvarez
1760,Sun,2017-10-01,16:15,Barcelona,3.3,3–0,0.6,Las Palmas,,Camp Nou,José Munuera
1761,Sun,2017-10-01,18:30,Valencia,2.3,3–2,1.6,Athletic Club,42070.0,Estadio de Mestalla,Alejandro Hernández
1762,Sun,2017-10-01,18:30,Villarreal,2.5,3–0,0.2,Eibar,17090.0,Estadio de la Cerámica,Mario Melero
1763,Sun,2017-10-01,20:45,Real Madrid,2.7,2–0,0.7,Espanyol,71205.0,Estadio Santiago Bernabéu,José González
1765,Fri,2017-10-13,21:00,Espanyol,1.8,0–0,0.8,Levante,19365.0,RCDE Stadium,Alberto Undiano
1766,Sat,2017-10-14,13:00,Athletic Club,1.7,1–0,1.3,Sevilla,40197.0,San Mamés,Ignacio Iglesias
1767,Sat,2017-10-14,16:15,Getafe,1.3,1–2,1.6,Real Madrid,15350.0,Coliseum Alfonso Pérez,Juan Martínez
1768,Sat,2017-10-14,18:30,Alavés,0.5,0–2,0.7,Real Sociedad,19840.0,Estadio de Mendizorroza,Alberola Rojas
1769,Sat,2017-10-14,20:45,Atlético Madrid,0.5,1–1,1.5,Barcelona,64393.0,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
1770,Sun,2017-10-15,12:00,Eibar,0.7,0–0,0.3,La Coruña,5125.0,Estadio Municipal de Ipurúa,Santiago Jaime
1771,Sun,2017-10-15,16:15,Girona,1.4,1–2,1.2,Villarreal,9935.0,Estadi Municipal de Montilivi,Carlos del Cerro
1772,Sun,2017-10-15,18:30,Málaga,0.6,0–2,2.0,Leganés,23951.0,Estadio La Rosaleda,José González
1773,Sun,2017-10-15,20:45,Betis,2.0,3–6,1.5,Valencia,48792.0,Estadio Benito Villamarín,José Sánchez
1774,Mon,2017-10-16,20:00,Las Palmas,1.8,2–5,1.5,Celta Vigo,15799.0,Estadio de Gran Canaria,David Medié
1776,Sat,2017-10-21,13:00,Levante,0.5,1–1,0.8,Getafe,18064.0,Estadio Ciudad de Valencia,Ricardo de Burgos
1777,Sat,2017-10-21,16:15,Betis,0.9,2–0,0.8,Alavés,49243.0,Estadio Benito Villamarín,Daniel Trujillo
1778,Sat,2017-10-21,18:30,Valencia,2.1,4–0,1.2,Sevilla,44307.0,Estadio de Mestalla,Javier Estrada
1779,Sat,2017-10-21,20:45,Barcelona,1.7,2–0,0.7,Málaga,74397.0,Camp Nou,Pablo González
1780,Sun,2017-10-22,12:00,Villarreal,2.5,4–0,1.0,Las Palmas,16606.0,Estadio de la Cerámica,David Fernández
1781,Sun,2017-10-22,16:15,Celta Vigo,0.8,0–1,0.7,Atlético Madrid,12978.0,Estadio de Balaídos,José Munuera
1782,Sun,2017-10-22,18:30,Leganés,1.1,1–0,0.7,Athletic Club,11454.0,Estadio Municipal de Butarque,Antonio Matéu Lahoz
1783,Sun,2017-10-22,20:45,Real Madrid,1.2,3–0,0.4,Eibar,66781.0,Estadio Santiago Bernabéu,Alfonso Álvarez
1784,Mon,2017-10-23,20:00,Real Sociedad,0.8,1–1,0.4,Espanyol,18515.0,Estadio Municipal de Anoeta,Mario Melero
1785,Mon,2017-10-23,21:00,La Coruña,1.9,1–2,1.9,Girona,17463.0,Estadio Municipal de Riazor,Jesús Gil
1787,Sat,2017-10-28,13:00,Alavés,0.8,1–2,1.1,Valencia,18638.0,Estadio de Mendizorroza,José González
1788,Sat,2017-10-28,18:30,Atlético Madrid,1.5,1–1,0.7,Villarreal,61421.0,Estadio Wanda Metropolitano,Alberto Undiano
1789,Sat,2017-10-28,20:45,Athletic Club,1.3,0–2,2.5,Barcelona,43570.0,San Mamés,Juan Martínez
1790,Sat,2017-10-28,22:30,Sevilla,1.4,2–1,1.1,Leganés,32097.0,Estadio Ramón Sánchez Pizjuán,David Medié
1791,Sun,2017-10-29,12:00,Getafe,1.8,2–1,1.2,Real Sociedad,11010.0,Coliseum Alfonso Pérez,José Sánchez
1792,Sun,2017-10-29,16:15,Girona,1.6,2–1,1.7,Real Madrid,13382.0,Estadi Municipal de Montilivi,Alejandro Hernández
1793,Sun,2017-10-29,18:30,Eibar,0.9,2–2,0.8,Levante,5131.0,Estadio Municipal de Ipurúa,Alberola Rojas
1794,Sun,2017-10-29,20:45,Málaga,1.7,2–1,1.5,Celta Vigo,19541.0,Estadio La Rosaleda,Santiago Jaime
