,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1640,Regular Season,Sat,2018-03-17,15:30,Augsburg,0.6,1–3,2.5,Werder Bremen,30080.0,WWK Arena,Sascha Stegemann
1641,Regular Season,Sat,2018-03-17,18:30,Wolfsburg,1.7,0–1,1.0,Schalke 04,27502.0,Volkswagen Arena,Benjamin Cortus
1642,Regular Season,Sun,2018-03-18,13:30,Dortmund,2.6,1–0,0.6,Hannover 96,81360.0,Signal Iduna Park,Patrick Ittrich
1643,Regular Season,Sun,2018-03-18,15:30,Köln,1.4,2–0,0.6,Leverkusen,50000.0,RheinEnergieSTADION,Harm Osmers
1644,Regular Season,Sun,2018-03-18,18:00,RB Leipzig,2.2,2–1,1.6,Bayern Munich,42558.0,Red Bull Arena,Marco Fritz
1646,Regular Season,Sat,2018-03-31,15:30,Leverkusen,0.8,0–0,0.3,Augsburg,25831.0,BayArena,Frank Willenborg
1647,Regular Season,Sat,2018-03-31,15:30,Hannover 96,1.0,2–3,3.1,RB Leipzig,42300.0,HDI-Arena,Guido Winkmann
1648,Regular Season,Sat,2018-03-31,15:30,Hoffenheim,3.1,6–0,0.6,Köln,30150.0,Dietmar-Hopp-Stadion,Robert Hartmann
1649,Regular Season,Sat,2018-03-31,15:30,Schalke 04,2.1,2–0,0.2,Freiburg,61688.0,Veltins-Arena,Tobias Stieler
1650,Regular Season,Sat,2018-03-31,15:30,Stuttgart,1.1,1–1,0.9,Hamburger SV,60449.0,Mercedes-Benz Arena,Felix Brych
1651,Regular Season,Sat,2018-03-31,18:30,Bayern Munich,4.0,6–0,0.6,Dortmund,75000.0,Allianz Arena,Bastian Dankert
1652,Regular Season,Sat,2018-03-31,20:30,Hertha BSC,0.5,0–0,0.9,Wolfsburg,34765.0,Olympiastadion Berlin,Deniz Aytekin
1653,Regular Season,Sun,2018-04-01,15:30,Werder Bremen,0.9,2–1,1.0,Eint Frankfurt,42100.0,Weserstadion,Felix Zwayer
1654,Regular Season,Sun,2018-04-01,18:00,Mainz 05,0.7,0–0,0.9,M'Gladbach,30173.0,Opel Arena,Manuel Gräfe
1656,Regular Season,Fri,2018-04-06,20:30,Hannover 96,1.5,2–1,1.4,Werder Bremen,49000.0,HDI-Arena,Tobias Welz
1657,Regular Season,Sat,2018-04-07,15:30,Freiburg,1.4,0–2,0.9,Wolfsburg,24000.0,Schwarzwald-Stadion,Sascha Stegemann
1658,Regular Season,Sat,2018-04-07,15:30,Köln,1.3,1–1,1.5,Mainz 05,50000.0,RheinEnergieSTADION,Benjamin Cortus
1659,Regular Season,Sat,2018-04-07,15:30,Augsburg,1.2,1–4,1.6,Bayern Munich,30660.0,WWK Arena,Markus Schmidt
1660,Regular Season,Sat,2018-04-07,15:30,M'Gladbach,1.4,2–1,2.6,Hertha BSC,51417.0,Stadion im Borussia-Park,Bibiana Steinhaus
1661,Regular Season,Sat,2018-04-07,18:30,Hamburger SV,1.9,3–2,1.2,Schalke 04,54137.0,Volksparkstadion,Christian Dingert
1662,Regular Season,Sun,2018-04-08,15:30,Dortmund,1.7,3–0,0.6,Stuttgart,81360.0,Signal Iduna Park,Patrick Ittrich
1663,Regular Season,Sun,2018-04-08,18:00,Eint Frankfurt,1.6,1–1,1.1,Hoffenheim,50500.0,Commerzbank-Arena,Daniel Siebert
