,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
1546,Sun,2019-03-03,15:00,SPAL,0.9,1–2,0.7,Sampdoria,12731.0,Stadio Paolo Mazza,Fabrizio Pasqua
1547,Sun,2019-03-03,15:00,Genoa,0.8,0–0,0.5,Frosinone,19920.0,Stadio Comunale Luigi Ferraris,Maurizio Mariani
1548,Sun,2019-03-03,15:00,Udinese,1.5,2–1,1.7,Bologna,18349.0,Dacia Arena,Davide Massa
1549,Sun,2019-03-03,18:00,Atalanta,2.2,3–1,0.5,Fiorentina,18796.0,Stadio Atleti Azzurri d'Italia,Marco Guida
1550,Sun,2019-03-03,20:30,Napoli,2.4,1–2,0.4,Juventus,42667.0,Stadio San Paolo,Gianluca Rocchi
1552,Fri,2019-03-08,20:30,Juventus,2.1,4–1,0.1,Udinese,39987.0,Allianz Stadium,Daniele Chiffi
1553,Sat,2019-03-09,18:00,Parma,0.8,1–0,0.8,Genoa,14787.0,Stadio Ennio Tardini,Juan Sacchi
1554,Sat,2019-03-09,20:30,Chievo,0.3,1–2,1.3,Milan,20000.0,Stadio Marc'Antonio Bentegodi,Luca Pairetto
1555,Sun,2019-03-10,12:30,Bologna,2.7,2–0,0.6,Cagliari,20557.0,Stadio Renato Dall'Ara,Massimiliano Irrati
1556,Sun,2019-03-10,15:00,Frosinone,0.7,1–2,1.3,Torino,14165.0,Stadio Benito Stirpe,Piero Giacomelli
1557,Sun,2019-03-10,15:00,Sampdoria,2.2,1–2,1.8,Atalanta,20896.0,Stadio Comunale Luigi Ferraris,Michael Fabbri
1558,Sun,2019-03-10,15:00,Inter,1.0,2–0,0.3,SPAL,61339.0,Stadio Giuseppe Meazza,Giampaolo Calvarese
1559,Sun,2019-03-10,18:00,Sassuolo,1.0,1–1,0.5,Napoli,14969.0,Stadio Città del Tricolore,Gianluca Manganiello
1560,Sun,2019-03-10,20:30,Fiorentina,0.5,1–1,0.9,Lazio,28727.0,Stadio Artemio Franchi,Daniele Orsato
