,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
0,Sat,2021-08-21,18:30,Hellas Verona,2.1,2–3,1.4,Sassuolo,5448.0,Stadio Marc'Antonio Bentegodi,Manuel Volpi
1,Sat,2021-08-21,18:30,Inter,1.5,4–0,1.0,Genoa,27402.0,Stadio Giuseppe Meazza,Valerio Marini
2,Sat,2021-08-21,20:45,Empoli,1.3,1–3,1.3,Lazio,3655.0,Stadio Carlo Castellani,Simone Sozza
3,Sat,2021-08-21,20:45,Torino,1.3,1–2,1.0,Atalanta,3475.0,Stadio Olimpico di Torino,Daniele Chiffi
4,Sun,2021-08-22,18:30,Bologna,1.5,3–2,1.6,Salernitana,8375.0,Stadio Renato Dall'Ara,Antonio Rapuano
5,Sun,2021-08-22,18:30,Udinese,2.2,2–2,0.8,Juventus,9660.0,Dacia Arena,Ivan Pezzuto
6,Sun,2021-08-22,20:45,Napoli,2.3,2–0,0.5,Venezia,20000.0,Stadio San Paolo,Gianluca Aureliano
7,Sun,2021-08-22,20:45,Roma,2.7,3–1,1.2,Fiorentina,26997.0,Stadio Olimpico,Luca Pairetto
8,Mon,2021-08-23,18:30,Cagliari,2.7,2–2,0.8,Spezia,5387.0,Sardegna Arena,Francesco Fourneau
9,Mon,2021-08-23,20:45,Sampdoria,1.0,0–1,1.1,Milan,5000.0,Stadio Comunale Luigi Ferraris,Marco Guida
11,Fri,2021-08-27,18:30,Udinese,2.7,3–0,1.0,Venezia,8274.0,Dacia Arena,Livio Marinelli
12,Fri,2021-08-27,20:45,Hellas Verona,0.8,1–3,1.6,Inter,11214.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello
13,Sat,2021-08-28,18:30,Atalanta,1.0,0–0,0.3,Bologna,7912.0,Stadio Atleti Azzurri d'Italia,Daniele Orsato
14,Sat,2021-08-28,18:30,Lazio,3.2,6–1,0.7,Spezia,20000.0,Stadio Olimpico,Federico Dionisi
15,Sat,2021-08-28,20:45,Fiorentina,0.6,2–1,0.5,Torino,12592.0,Stadio Artemio Franchi,Maurizio Mariani
16,Sat,2021-08-28,20:45,Juventus,1.5,0–1,0.8,Empoli,17584.0,Allianz Stadium,Davide Ghersini
17,Sun,2021-08-29,18:30,Sassuolo,1.4,0–0,0.5,Sampdoria,3309.0,Stadio Città del Tricolore,Juan Sacchi
18,Sun,2021-08-29,18:30,Genoa,0.6,1–2,1.1,Napoli,20000.0,Stadio Comunale Luigi Ferraris,Marco Di Bello
19,Sun,2021-08-29,20:45,Milan,2.7,4–1,0.4,Cagliari,31946.0,Stadio Giuseppe Meazza,Marco Serra
20,Sun,2021-08-29,20:45,Salernitana,0.3,0–4,1.9,Roma,12500.0,Stadio Arechi,Rosario Abisso
22,Sat,2021-09-11,15:00,Empoli,1.9,1–2,1.7,Venezia,2511.0,Stadio Carlo Castellani,Antonio Rapuano
23,Sat,2021-09-11,18:00,Napoli,2.1,2–1,1.0,Juventus,23500.0,Stadio San Paolo,Massimiliano Irrati
24,Sat,2021-09-11,20:45,Atalanta,2.5,1–2,1.7,Fiorentina,9162.0,Stadio Atleti Azzurri d'Italia,Valerio Marini
25,Sun,2021-09-12,12:30,Sampdoria,1.2,2–2,0.7,Inter,7441.0,Stadio Comunale Luigi Ferraris,Daniele Orsato
26,Sun,2021-09-12,15:00,Spezia,1.3,0–1,0.8,Udinese,5162.0,Stadio Alberto Picco,Marco Guida
27,Sun,2021-09-12,15:00,Torino,1.9,4–0,0.2,Salernitana,9082.0,Stadio Olimpico di Torino,Gianluca Aureliano
28,Sun,2021-09-12,15:00,Cagliari,1.4,2–3,1.1,Genoa,6423.0,Sardegna Arena,Luca Pairetto
29,Sun,2021-09-12,18:00,Milan,3.0,2–0,0.3,Lazio,36207.0,Stadio Giuseppe Meazza,Daniele Chiffi
30,Sun,2021-09-12,20:45,Roma,2.8,2–1,1.7,Sassuolo,29604.0,Stadio Olimpico,Simone Sozza
31,Mon,2021-09-13,20:45,Bologna,1.4,1–0,0.4,Hellas Verona,10218.0,Stadio Renato Dall'Ara,Ivan Pezzuto
33,Fri,2021-09-17,20:45,Sassuolo,0.6,0–1,2.0,Torino,20000.0,Stadio Città del Tricolore,Marco Piccinini
34,Sat,2021-09-18,15:00,Genoa,1.0,1–2,0.9,Fiorentina,6269.0,Stadio Comunale Luigi Ferraris,Livio Marinelli
35,Sat,2021-09-18,18:00,Inter,3.1,6–1,0.5,Bologna,35278.0,Stadio Giuseppe Meazza,Giovanni Ayroldi
36,Sat,2021-09-18,20:45,Salernitana,0.9,0–1,1.4,Atalanta,11949.0,Stadio Arechi,Paolo Valeri
37,Sun,2021-09-19,12:30,Empoli,1.6,0–3,1.8,Sampdoria,3064.0,Stadio Carlo Castellani,Maurizio Mariani
38,Sun,2021-09-19,15:00,Venezia,0.9,1–2,0.5,Spezia,3688.0,Stadio Pierluigi Penzo,Rosario Abisso
39,Sun,2021-09-19,18:00,Hellas Verona,1.1,3–2,0.8,Roma,10148.0,Stadio Marc'Antonio Bentegodi,Fabio Maresca
40,Sun,2021-09-19,18:00,Lazio,2.1,2–2,1.8,Cagliari,20000.0,Stadio Olimpico,Davide Ghersini
41,Sun,2021-09-19,20:45,Juventus,1.0,1–1,0.7,Milan,18785.0,Allianz Stadium,Daniele Doveri
42,Mon,2021-09-20,20:45,Udinese,0.3,0–4,2.4,Napoli,11484.0,Dacia Arena,Gianluca Manganiello
44,Tue,2021-09-21,18:30,Bologna,2.0,2–2,1.5,Genoa,9707.0,Stadio Renato Dall'Ara,Francesco Fourneau
45,Tue,2021-09-21,20:45,Atalanta,1.6,2–1,0.7,Sassuolo,7353.0,Stadio Atleti Azzurri d'Italia,Davide Massa
46,Tue,2021-09-21,20:45,Fiorentina,1.4,1–3,2.8,Inter,15927.0,Stadio Artemio Franchi,Michael Fabbri
47,Wed,2021-09-22,18:30,Salernitana,2.7,2–2,1.7,Hellas Verona,9561.0,Stadio Arechi,Massimiliano Irrati
48,Wed,2021-09-22,18:30,Spezia,0.7,2–3,2.3,Juventus,5700.0,Stadio Alberto Picco,Gianluca Aureliano
49,Wed,2021-09-22,20:45,Milan,1.7,2–0,0.7,Venezia,26185.0,Stadio Giuseppe Meazza,Ivan Pezzuto
50,Wed,2021-09-22,20:45,Cagliari,1.1,0–2,1.1,Empoli,7226.0,Sardegna Arena,Marco Di Bello
51,Thu,2021-09-23,18:30,Torino,1.1,1–1,0.9,Lazio,8646.0,Stadio Olimpico di Torino,Rosario Abisso
52,Thu,2021-09-23,18:30,Sampdoria,0.6,0–4,2.2,Napoli,4596.0,Stadio Comunale Luigi Ferraris,Paolo Valeri
53,Thu,2021-09-23,20:45,Roma,1.3,1–0,0.9,Udinese,29593.0,Stadio Olimpico,Antonio Rapuano
55,Sat,2021-09-25,15:00,Spezia,0.9,1–2,1.9,Milan,3618.0,Stadio Alberto Picco,Gianluca Manganiello
56,Sat,2021-09-25,18:00,Inter,3.9,2–2,2.1,Atalanta,36517.0,Stadio Giuseppe Meazza,Fabio Maresca
57,Sat,2021-09-25,20:45,Genoa,1.6,3–3,2.2,Hellas Verona,13478.0,Stadio Comunale Luigi Ferraris,Daniele Doveri
58,Sun,2021-09-26,12:30,Juventus,2.4,3–2,0.4,Sampdoria,15381.0,Allianz Stadium,Giovanni Ayroldi
59,Sun,2021-09-26,15:00,Udinese,0.6,0–1,1.1,Fiorentina,7208.0,Dacia Arena,Davide Ghersini
60,Sun,2021-09-26,15:00,Sassuolo,1.3,1–0,0.9,Salernitana,5177.0,Stadio Città del Tricolore,Antonio Giua
61,Sun,2021-09-26,15:00,Empoli,1.8,4–2,2.5,Bologna,5022.0,Stadio Carlo Castellani,Piero Giacomelli
62,Sun,2021-09-26,18:00,Lazio,2.2,3–2,2.3,Roma,32000.0,Stadio Olimpico,Marco Guida
63,Sun,2021-09-26,20:45,Napoli,1.8,2–0,0.2,Cagliari,20000.0,Stadio San Paolo,Marco Piccinini
64,Mon,2021-09-27,20:45,Venezia,1.3,1–1,0.7,Torino,4888.0,Stadio Pierluigi Penzo,Lorenzo Maggioni
66,Fri,2021-10-01,20:45,Cagliari,0.4,1–1,1.1,Venezia,8135.0,Sardegna Arena,Manuel Volpi
67,Sat,2021-10-02,15:00,Salernitana,0.5,1–0,1.9,Genoa,10077.0,Stadio Arechi,Maurizio Mariani
68,Sat,2021-10-02,18:00,Torino,1.0,0–1,0.9,Juventus,12073.0,Stadio Olimpico di Torino,Paolo Valeri
69,Sat,2021-10-02,20:45,Sassuolo,1.5,1–2,1.9,Inter,10400.0,Stadio Città del Tricolore,Luca Pairetto
70,Sun,2021-10-03,12:30,Bologna,0.5,3–0,0.6,Lazio,12975.0,Stadio Renato Dall'Ara,Davide Massa
71,Sun,2021-10-03,15:00,Sampdoria,1.6,3–3,2.7,Udinese,4292.0,Stadio Comunale Luigi Ferraris,Daniele Orsato
72,Sun,2021-10-03,15:00,Hellas Verona,0.4,4–0,1.4,Spezia,8398.0,Stadio Marc'Antonio Bentegodi,Giacomo Camplone
73,Sun,2021-10-03,18:00,Fiorentina,0.7,1–2,1.7,Napoli,15264.0,Stadio Artemio Franchi,Simone Sozza
74,Sun,2021-10-03,18:00,Roma,1.3,2–0,0.6,Empoli,31946.0,Stadio Olimpico,Giovanni Ayroldi
75,Sun,2021-10-03,20:45,Atalanta,2.1,2–3,3.0,Milan,9363.0,Stadio Atleti Azzurri d'Italia,Marco Di Bello
77,Sat,2021-10-16,15:00,Spezia,1.6,2–1,1.7,Salernitana,6023.0,Stadio Alberto Picco,Davide Massa
78,Sat,2021-10-16,18:00,Lazio,2.5,3–1,1.4,Inter,42000.0,Stadio Olimpico,Massimiliano Irrati
79,Sat,2021-10-16,20:45,Milan,1.5,3–2,1.4,Hellas Verona,40128.0,Stadio Giuseppe Meazza,Alessandro Prontera
80,Sun,2021-10-17,12:30,Cagliari,1.1,3–1,1.5,Sampdoria,9923.0,Sardegna Arena,Matteo Marchetti
81,Sun,2021-10-17,15:00,Udinese,1.0,1–1,1.7,Bologna,10627.0,Dacia Arena,Rosario Abisso
82,Sun,2021-10-17,15:00,Empoli,0.7,1–4,4.2,Atalanta,6214.0,Stadio Carlo Castellani,Marco Serra
83,Sun,2021-10-17,15:00,Genoa,1.3,2–2,2.0,Sassuolo,10370.0,Stadio Comunale Luigi Ferraris,Daniele Chiffi
84,Sun,2021-10-17,18:00,Napoli,1.6,1–0,0.9,Torino,27579.0,Stadio San Paolo,Juan Sacchi
85,Sun,2021-10-17,20:45,Juventus,0.8,1–0,1.4,Roma,20239.0,Allianz Stadium,Daniele Orsato
86,Mon,2021-10-18,20:45,Venezia,1.0,1–0,0.5,Fiorentina,8043.0,Stadio Pierluigi Penzo,Luca Massimi
88,Fri,2021-10-22,18:30,Torino,1.5,3–2,1.8,Genoa,9881.0,Stadio Olimpico di Torino,Piero Giacomelli
89,Fri,2021-10-22,20:45,Sampdoria,0.9,2–1,0.9,Spezia,7493.0,Stadio Comunale Luigi Ferraris,Michael Fabbri
90,Sat,2021-10-23,15:00,Salernitana,1.0,2–4,2.2,Empoli,11142.0,Stadio Arechi,Daniele Doveri
91,Sat,2021-10-23,18:00,Sassuolo,2.0,3–1,0.5,Venezia,4482.0,Stadio Città del Tricolore,Antonio Di Martino
92,Sat,2021-10-23,20:45,Bologna,0.7,2–4,0.9,Milan,22167.0,Stadio Renato Dall'Ara,Paolo Valeri
93,Sun,2021-10-24,12:30,Atalanta,0.5,1–1,0.9,Udinese,9951.0,Stadio Atleti Azzurri d'Italia,Livio Marinelli
94,Sun,2021-10-24,15:00,Fiorentina,3.1,3–0,0.2,Cagliari,20290.0,Stadio Artemio Franchi,Antonio Rapuano
95,Sun,2021-10-24,15:00,Hellas Verona,2.8,4–1,0.9,Lazio,13953.0,Stadio Marc'Antonio Bentegodi,Marco Piccinini
96,Sun,2021-10-24,18:00,Roma,1.3,0–0,0.9,Napoli,47801.0,Stadio Olimpico,Davide Massa
97,Sun,2021-10-24,20:45,Inter,0.8,1–1,1.8,Juventus,56532.0,Stadio Giuseppe Meazza,Maurizio Mariani
99,Tue,2021-10-26,18:30,Spezia,2.0,1–1,1.2,Genoa,7283.0,Stadio Alberto Picco,Simone Sozza
100,Tue,2021-10-26,18:30,Venezia,0.5,1–2,1.3,Salernitana,5103.0,Stadio Pierluigi Penzo,Marco Di Bello
101,Tue,2021-10-26,20:45,Milan,0.9,1–0,0.8,Torino,35929.0,Stadio Giuseppe Meazza,Gianluca Aureliano
102,Wed,2021-10-27,18:30,Udinese,1.2,1–1,0.8,Hellas Verona,8751.0,Dacia Arena,Matteo Marchetti
103,Wed,2021-10-27,18:30,Sampdoria,1.3,1–3,1.1,Atalanta,5462.0,Stadio Comunale Luigi Ferraris,Alessandro Prontera
104,Wed,2021-10-27,18:30,Juventus,1.3,1–2,1.2,Sassuolo,18288.0,Allianz Stadium,Juan Sacchi
105,Wed,2021-10-27,20:45,Lazio,0.6,1–0,0.6,Fiorentina,7000.0,Stadio Olimpico,Giovanni Ayroldi
106,Wed,2021-10-27,20:45,Cagliari,1.1,1–2,2.4,Roma,8547.0,Sardegna Arena,Ivan Pezzuto
107,Wed,2021-10-27,20:45,Empoli,0.6,0–2,2.0,Inter,9335.0,Stadio Carlo Castellani,Daniele Chiffi
108,Thu,2021-10-28,20:45,Napoli,2.6,3–0,0.2,Bologna,20000.0,Stadio San Paolo,Marco Serra
110,Sat,2021-10-30,15:00,Atalanta,0.9,2–2,1.4,Lazio,11981.0,Stadio Atleti Azzurri d'Italia,Marco Guida
111,Sat,2021-10-30,18:00,Hellas Verona,1.6,2–1,0.9,Juventus,22314.0,Stadio Marc'Antonio Bentegodi,Livio Marinelli
112,Sat,2021-10-30,20:45,Torino,2.1,3–0,0.2,Sampdoria,13137.0,Stadio Olimpico di Torino,Francesco Fourneau
113,Sun,2021-10-31,12:30,Inter,2.1,2–0,0.4,Udinese,48076.0,Stadio Giuseppe Meazza,Juan Sacchi
114,Sun,2021-10-31,15:00,Fiorentina,3.3,3–0,0.1,Spezia,19511.0,Stadio Artemio Franchi,Antonio Giua
115,Sun,2021-10-31,15:00,Genoa,0.9,0–0,0.6,Venezia,7920.0,Stadio Comunale Luigi Ferraris,Maurizio Mariani
116,Sun,2021-10-31,15:00,Sassuolo,0.9,1–2,1.5,Empoli,3539.0,Stadio Città del Tricolore,Luca Massimi
117,Sun,2021-10-31,18:00,Salernitana,0.7,0–1,1.4,Napoli,17043.0,Stadio Arechi,Michael Fabbri
118,Sun,2021-10-31,20:45,Roma,1.2,1–2,1.9,Milan,51001.0,Stadio Olimpico,Fabio Maresca
119,Mon,2021-11-01,20:45,Bologna,1.0,2–0,0.4,Cagliari,10126.0,Stadio Renato Dall'Ara,Davide Massa
121,Fri,2021-11-05,20:45,Empoli,0.8,2–2,1.7,Genoa,5631.0,Stadio Carlo Castellani,Luca Pairetto
122,Sat,2021-11-06,15:00,Spezia,0.6,1–0,0.9,Torino,6953.0,Stadio Alberto Picco,Daniele Orsato
123,Sat,2021-11-06,18:00,Juventus,0.7,1–0,0.5,Fiorentina,6953.0,Allianz Stadium,Simone Sozza
124,Sat,2021-11-06,20:45,Cagliari,0.9,1–2,2.8,Atalanta,6976.0,Sardegna Arena,Marco Piccinini
125,Sun,2021-11-07,12:30,Venezia,2.5,3–2,3.5,Roma,8263.0,Stadio Pierluigi Penzo,Gianluca Aureliano
126,Sun,2021-11-07,15:00,Udinese,1.7,3–2,1.3,Sassuolo,8322.0,Dacia Arena,Federico Dionisi
127,Sun,2021-11-07,15:00,Sampdoria,0.8,1–2,1.9,Bologna,5694.0,Stadio Comunale Luigi Ferraris,Gianluca Manganiello
128,Sun,2021-11-07,18:00,Napoli,0.8,1–1,1.0,Hellas Verona,28000.0,Stadio San Paolo,Giovanni Ayroldi
129,Sun,2021-11-07,18:00,Lazio,2.1,3–0,0.5,Salernitana,25000.0,Stadio Olimpico,Antonio Rapuano
130,Sun,2021-11-07,20:45,Milan,0.9,1–1,2.6,Inter,56608.0,Stadio Giuseppe Meazza,Daniele Doveri
132,Sat,2021-11-20,15:00,Atalanta,2.5,5–2,1.0,Spezia,10744.0,Stadio Atleti Azzurri d'Italia,Rosario Abisso
133,Sat,2021-11-20,18:00,Lazio,0.2,0–2,2.7,Juventus,45000.0,Stadio Olimpico,Marco Di Bello
134,Sat,2021-11-20,20:45,Fiorentina,1.8,4–3,2.1,Milan,32567.0,Stadio Artemio Franchi,Marco Guida
135,Sun,2021-11-21,12:30,Sassuolo,3.2,2–2,1.5,Cagliari,4135.0,Stadio Città del Tricolore,Niccolò Baroni
136,Sun,2021-11-21,15:00,Salernitana,1.3,0–2,0.9,Sampdoria,11849.0,Stadio Arechi,Piero Giacomelli
137,Sun,2021-11-21,15:00,Bologna,1.4,0–1,1.0,Venezia,15255.0,Stadio Renato Dall'Ara,Daniele Chiffi
138,Sun,2021-11-21,18:00,Inter,1.9,3–2,1.1,Napoli,56649.0,Stadio Giuseppe Meazza,Paolo Valeri
139,Sun,2021-11-21,20:45,Genoa,0.2,0–2,1.8,Roma,14667.0,Stadio Comunale Luigi Ferraris,Massimiliano Irrati
140,Mon,2021-11-22,18:30,Hellas Verona,1.3,2–1,1.6,Empoli,13797.0,Stadio Marc'Antonio Bentegodi,Matteo Gariglio
141,Mon,2021-11-22,20:45,Torino,1.9,2–1,1.7,Udinese,7034.0,Stadio Olimpico di Torino,Ivan Pezzuto
143,Fri,2021-11-26,20:45,Cagliari,1.6,1–1,0.4,Salernitana,9700.0,Sardegna Arena,Daniele Doveri
144,Sat,2021-11-27,15:00,Empoli,1.9,2–1,2.4,Fiorentina,7878.0,Stadio Carlo Castellani,Juan Sacchi
145,Sat,2021-11-27,15:00,Sampdoria,0.8,3–1,0.9,Hellas Verona,6813.0,Stadio Comunale Luigi Ferraris,Lorenzo Maggioni
146,Sat,2021-11-27,18:00,Juventus,0.9,0–1,0.4,Atalanta,29886.0,Allianz Stadium,Giovanni Ayroldi
147,Sat,2021-11-27,20:45,Venezia,0.1,0–2,2.7,Inter,8303.0,Stadio Pierluigi Penzo,Livio Marinelli
148,Sun,2021-11-28,12:30,Udinese,1.1,0–0,0.7,Genoa,11537.0,Dacia Arena,Francesco Meraviglia
149,Sun,2021-11-28,15:00,Milan,1.1,1–3,1.1,Sassuolo,52824.0,Stadio Giuseppe Meazza,Gianluca Manganiello
150,Sun,2021-11-28,15:00,Spezia,1.1,0–1,2.4,Bologna,6265.0,Stadio Alberto Picco,Luca Massimi
151,Sun,2021-11-28,18:00,Roma,0.9,1–0,1.2,Torino,46728.0,Stadio Olimpico,Daniele Chiffi
152,Sun,2021-11-28,20:45,Napoli,1.2,4–0,0.4,Lazio,36000.0,Stadio San Paolo,Daniele Orsato
154,Tue,2021-11-30,18:30,Atalanta,2.7,4–0,0.7,Venezia,8667.0,Stadio Atleti Azzurri d'Italia,Alberto Santoro
155,Tue,2021-11-30,18:30,Fiorentina,2.7,3–1,0.7,Sampdoria,17913.0,Stadio Artemio Franchi,Federico Dionisi
156,Tue,2021-11-30,20:45,Hellas Verona,1.8,0–0,0.6,Cagliari,12188.0,Stadio Marc'Antonio Bentegodi,Matteo Marcenaro
157,Tue,2021-11-30,20:45,Salernitana,0.3,0–2,2.2,Juventus,19500.0,Stadio Arechi,Francesco Fourneau
158,Wed,2021-12-01,18:30,Bologna,0.2,1–0,0.9,Roma,15780.0,Stadio Renato Dall'Ara,Luca Pairetto
159,Wed,2021-12-01,18:30,Inter,2.8,2–0,0.4,Spezia,30076.0,Stadio Giuseppe Meazza,Davide Ghersini
160,Wed,2021-12-01,20:45,Sassuolo,0.3,2–2,0.8,Napoli,8192.0,Stadio Città del Tricolore,Ivan Pezzuto
161,Wed,2021-12-01,20:45,Genoa,0.5,0–3,1.0,Milan,14000.0,Stadio Comunale Luigi Ferraris,Juan Sacchi
162,Thu,2021-12-02,18:30,Torino,0.9,2–2,0.9,Empoli,7002.0,Stadio Olimpico di Torino,Andrea Colombo
163,Thu,2021-12-02,20:45,Lazio,1.6,4–4,1.3,Udinese,7000.0,Stadio Olimpico,Marco Piccinini
165,Sat,2021-12-04,15:00,Milan,2.9,2–0,0.3,Salernitana,43609.0,Stadio Giuseppe Meazza,Antonio Giua
166,Sat,2021-12-04,18:00,Roma,0.7,0–3,1.5,Inter,51185.0,Stadio Olimpico,Marco Di Bello
167,Sat,2021-12-04,20:45,Napoli,1.2,2–3,1.6,Atalanta,30000.0,Stadio San Paolo,Maurizio Mariani
168,Sun,2021-12-05,12:30,Bologna,0.7,2–3,1.1,Fiorentina,18175.0,Stadio Renato Dall'Ara,Massimiliano Irrati
169,Sun,2021-12-05,15:00,Venezia,1.8,3–4,1.9,Hellas Verona,7608.0,Stadio Pierluigi Penzo,Alessandro Prontera
170,Sun,2021-12-05,15:00,Spezia,2.2,2–2,1.4,Sassuolo,4987.0,Stadio Alberto Picco,Fabio Maresca
171,Sun,2021-12-05,18:00,Sampdoria,1.4,1–3,1.2,Lazio,5883.0,Stadio Comunale Luigi Ferraris,Michael Fabbri
172,Sun,2021-12-05,20:45,Juventus,2.5,2–0,0.0,Genoa,18458.0,Allianz Stadium,Daniele Chiffi
173,Mon,2021-12-06,18:30,Empoli,2.4,3–1,2.1,Udinese,4808.0,Stadio Carlo Castellani,Daniele Paterna
174,Mon,2021-12-06,20:45,Cagliari,1.2,1–1,1.4,Torino,8799.0,Sardegna Arena,Luca Massimi
176,Fri,2021-12-10,20:45,Genoa,1.0,1–3,1.4,Sampdoria,,Stadio Comunale Luigi Ferraris,Daniele Doveri
177,Sat,2021-12-11,15:00,Fiorentina,2.2,4–0,1.0,Salernitana,18579.0,Stadio Artemio Franchi,Davide Ghersini
178,Sat,2021-12-11,18:00,Venezia,0.4,1–1,1.6,Juventus,8350.0,Stadio Pierluigi Penzo,Paolo Valeri
179,Sat,2021-12-11,20:45,Udinese,1.7,1–1,1.1,Milan,16385.0,Dacia Arena,Francesco Fourneau
180,Sun,2021-12-12,12:30,Torino,1.6,2–1,1.0,Bologna,6562.0,Stadio Olimpico di Torino,Federico Dionisi
181,Sun,2021-12-12,15:00,Hellas Verona,1.1,1–2,1.7,Atalanta,15000.0,Stadio Marc'Antonio Bentegodi,Juan Sacchi
182,Sun,2021-12-12,18:00,Napoli,1.7,0–1,0.7,Empoli,20000.0,Stadio San Paolo,Livio Marinelli
183,Sun,2021-12-12,18:00,Sassuolo,1.4,2–1,0.3,Lazio,5100.0,Stadio Città del Tricolore,Simone Sozza
184,Sun,2021-12-12,20:45,Inter,3.0,4–0,0.2,Cagliari,33712.0,Stadio Giuseppe Meazza,Matteo Marchetti
185,Mon,2021-12-13,20:45,Roma,1.9,2–0,0.5,Spezia,44844.0,Stadio Olimpico,Alessandro Prontera
187,Fri,2021-12-17,18:30,Lazio,1.5,3–1,0.2,Genoa,6000.0,Stadio Olimpico,Luca Pairetto
188,Fri,2021-12-17,20:45,Salernitana,0.7,0–5,3.1,Inter,18000.0,Stadio Arechi,Maurizio Mariani
189,Sat,2021-12-18,15:00,Atalanta,1.3,1–4,1.2,Roma,14469.0,Stadio Atleti Azzurri d'Italia,Massimiliano Irrati
190,Sat,2021-12-18,18:00,Bologna,0.4,0–2,1.1,Juventus,22394.0,Stadio Renato Dall'Ara,Daniele Orsato
191,Sat,2021-12-18,20:45,Cagliari,0.4,0–4,0.6,Udinese,7864.0,Sardegna Arena,Fabio Maresca
192,Sun,2021-12-19,12:30,Fiorentina,3.2,2–2,1.1,Sassuolo,21514.0,Stadio Artemio Franchi,Marco Serra
193,Sun,2021-12-19,15:00,Spezia,0.6,1–1,1.8,Empoli,5414.0,Stadio Alberto Picco,Manuel Volpi
194,Sun,2021-12-19,18:00,Sampdoria,1.4,1–1,1.4,Venezia,5735.0,Stadio Comunale Luigi Ferraris,Rosario Abisso
195,Sun,2021-12-19,18:00,Torino,0.8,1–0,0.4,Hellas Verona,6202.0,Stadio Olimpico di Torino,Michael Fabbri
196,Sun,2021-12-19,20:45,Milan,0.5,0–1,0.9,Napoli,54647.0,Stadio Giuseppe Meazza,Davide Massa
198,Tue,2021-12-21,20:45,Juventus,1.0,2–0,1.3,Cagliari,11197.0,Allianz Stadium,Federico Dionisi
199,Tue,2021-12-21,20:45,Genoa,0.0,0–0,1.2,Atalanta,6000.0,Stadio Comunale Luigi Ferraris,Paolo Valeri
200,Wed,2021-12-22,16:30,Venezia,1.0,1–3,0.8,Lazio,7894.0,Stadio Pierluigi Penzo,Fabio Maresca
201,Wed,2021-12-22,16:30,Sassuolo,0.8,0–3,1.3,Bologna,4763.0,Stadio Città del Tricolore,Michael Fabbri
202,Wed,2021-12-22,18:30,Inter,1.3,1–0,0.6,Torino,41413.0,Stadio Giuseppe Meazza,Marco Guida
203,Wed,2021-12-22,18:30,Roma,1.5,1–1,1.5,Sampdoria,49400.0,Stadio Olimpico,Piero Giacomelli
204,Wed,2021-12-22,18:30,Hellas Verona,1.1,1–1,1.0,Fiorentina,14001.0,Stadio Marc'Antonio Bentegodi,Daniele Doveri
205,Wed,2021-12-22,20:45,Napoli,2.0,0–1,0.3,Spezia,25000.0,Stadio San Paolo,Luca Massimi
206,Wed,2021-12-22,20:45,Empoli,1.7,2–4,1.4,Milan,10596.0,Stadio Carlo Castellani,Marco Di Bello
208,Thu,2022-01-06,12:30,Sampdoria,0.6,1–2,2.4,Cagliari,3188.0,Stadio Comunale Luigi Ferraris,Giacomo Camplone
209,Thu,2022-01-06,14:30,Lazio,2.5,3–3,2.0,Empoli,23000.0,Stadio Olimpico,Antonio Giua
210,Thu,2022-01-06,14:30,Spezia,0.9,1–2,1.9,Hellas Verona,3250.0,Stadio Alberto Picco,Maurizio Mariani
211,Thu,2022-01-06,16:30,Sassuolo,2.0,1–1,0.2,Genoa,4696.0,Stadio Città del Tricolore,Gianluca Manganiello
212,Thu,2022-01-06,18:30,Milan,2.9,3–1,0.8,Roma,35870.0,Stadio Giuseppe Meazza,Daniele Chiffi
213,Thu,2022-01-06,20:45,Juventus,1.3,1–1,0.7,Napoli,19301.0,Allianz Stadium,Simone Sozza
215,Sun,2022-01-09,12:30,Venezia,0.4,0–3,2.8,Milan,5000.0,Stadio Pierluigi Penzo,Massimiliano Irrati
216,Sun,2022-01-09,14:30,Empoli,1.4,1–5,4.1,Sassuolo,4081.0,Stadio Carlo Castellani,Manuel Volpi
217,Sun,2022-01-09,16:30,Napoli,1.5,1–0,0.4,Sampdoria,9000.0,Stadio San Paolo,Marco Di Bello
218,Sun,2022-01-09,16:30,Udinese,0.5,2–6,3.1,Atalanta,8679.0,Dacia Arena,Michael Fabbri
219,Sun,2022-01-09,18:30,Roma,2.1,3–4,1.1,Juventus,33178.0,Stadio Olimpico,Davide Massa
220,Sun,2022-01-09,18:30,Genoa,1.0,0–1,1.5,Spezia,8000.0,Stadio Comunale Luigi Ferraris,Marco Guida
221,Sun,2022-01-09,20:45,Inter,1.6,2–1,1.5,Lazio,29471.0,Stadio Giuseppe Meazza,Luca Pairetto
222,Sun,2022-01-09,20:45,Hellas Verona,1.4,1–2,1.1,Salernitana,3106.0,Stadio Marc'Antonio Bentegodi,Federico Dionisi
223,Mon,2022-01-10,17:00,Torino,2.1,4–0,0.7,Fiorentina,3545.0,Stadio Olimpico di Torino,Livio Marinelli
224,Tue,2022-01-11,20:45,Cagliari,1.6,2–1,0.6,Bologna,5583.0,Sardegna Arena,Davide Ghersini
226,Sat,2022-01-15,15:00,Sampdoria,1.3,1–2,1.6,Torino,2549.0,Stadio Comunale Luigi Ferraris,Luca Massimi
227,Sat,2022-01-15,18:00,Salernitana,0.3,0–3,1.6,Lazio,2559.0,Stadio Arechi,Rosario Abisso
