,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
258,Regular Season,Wed,2022-03-16,18:30,Mainz 05,0.6,0–1,0.8,Dortmund,25000.0,Opel Arena,Sascha Stegemann
260,Regular Season,Fri,2022-03-18,20:30,Bochum,1.4,0–2,0.6,M'Gladbach,,Vonovia Ruhrstadion,Benjamin Cortus
261,Regular Season,Sat,2022-03-19,15:30,Mainz 05,4.2,4–0,0.2,Arminia,25000.0,Opel Arena,Felix Zwayer
262,Regular Season,Sat,2022-03-19,15:30,Stuttgart,2.7,3–2,0.9,Augsburg,55785.0,Mercedes-Benz Arena,Patrick Ittrich
263,Regular Season,Sat,2022-03-19,15:30,Hertha BSC,0.8,3–0,0.8,Hoffenheim,25000.0,Olympiastadion Berlin,Daniel Schlager
264,Regular Season,Sat,2022-03-19,15:30,Greuther Fürth,0.7,0–0,0.8,Freiburg,9884.0,Sportpark Ronhof Thomas Sommer,Tobias Reichel
265,Regular Season,Sat,2022-03-19,18:30,Bayern Munich,2.9,4–0,0.8,Union Berlin,37000.0,Allianz Arena,Harm Osmers
266,Regular Season,Sun,2022-03-20,15:30,RB Leipzig,1.2,0–0,0.1,Eint Frankfurt,43058.0,Red Bull Arena,Christian Dingert
267,Regular Season,Sun,2022-03-20,17:30,Wolfsburg,1.5,0–2,1.2,Leverkusen,16554.0,Volkswagen Arena,Felix Brych
268,Regular Season,Sun,2022-03-20,19:30,Köln,1.2,1–1,1.1,Dortmund,50000.0,RheinEnergieSTADION,Daniel Siebert
270,Regular Season,Fri,2022-04-01,20:30,Union Berlin,1.7,1–0,0.5,Köln,22012.0,Stadion An der Alten Försterei,Florian Badstübner
271,Regular Season,Sat,2022-04-02,15:30,Freiburg,0.6,1–4,2.0,Bayern Munich,34700.0,Europa-Park Stadion,Christian Dingert
272,Regular Season,Sat,2022-04-02,15:30,Leverkusen,2.1,2–1,0.8,Hertha BSC,23557.0,BayArena,Matthias Jöllenbeck
273,Regular Season,Sat,2022-04-02,15:30,Hoffenheim,2.2,1–2,2.1,Bochum,15014.0,PreZero Arena,Daniel Siebert
274,Regular Season,Sat,2022-04-02,15:30,Arminia,0.8,1–1,2.3,Stuttgart,26011.0,SchücoArena,Patrick Ittrich
275,Regular Season,Sat,2022-04-02,15:30,Eint Frankfurt,1.4,0–0,0.4,Greuther Fürth,50500.0,Commerzbank-Arena,Bastian Dankert
276,Regular Season,Sat,2022-04-02,18:30,Dortmund,0.8,1–4,0.9,RB Leipzig,81365.0,Signal Iduna Park,Marco Fritz
277,Regular Season,Sun,2022-04-03,15:30,Augsburg,1.6,3–0,1.4,Wolfsburg,23143.0,WWK Arena,Sascha Stegemann
278,Regular Season,Sun,2022-04-03,17:30,M'Gladbach,1.6,1–1,2.2,Mainz 05,44156.0,Stadion im Borussia-Park,Daniel Schlager
280,Regular Season,Wed,2022-04-06,18:30,Augsburg,2.1,2–1,2.0,Mainz 05,18122.0,WWK Arena,Matthias Jöllenbeck
282,Regular Season,Fri,2022-04-08,20:30,Stuttgart,1.1,0–2,1.7,Dortmund,58248.0,Mercedes-Benz Arena,Harm Osmers
283,Regular Season,Sat,2022-04-09,15:30,Greuther Fürth,0.7,0–2,2.9,M'Gladbach,13900.0,Sportpark Ronhof Thomas Sommer,Tobias Stieler
284,Regular Season,Sat,2022-04-09,15:30,Bayern Munich,1.8,1–0,0.3,Augsburg,75000.0,Allianz Arena,Patrick Ittrich
285,Regular Season,Sat,2022-04-09,15:30,Wolfsburg,2.0,4–0,0.5,Arminia,22512.0,Volkswagen Arena,Benjamin Brand
286,Regular Season,Sat,2022-04-09,15:30,Köln,2.2,3–2,1.0,Mainz 05,49800.0,RheinEnergieSTADION,Martin Petersen
287,Regular Season,Sat,2022-04-09,18:30,Hertha BSC,0.9,1–4,2.3,Union Berlin,74667.0,Olympiastadion Berlin,Sven Jablonski
288,Regular Season,Sun,2022-04-10,15:30,Bochum,1.0,0–0,1.2,Leverkusen,25000.0,Vonovia Ruhrstadion,Felix Zwayer
289,Regular Season,Sun,2022-04-10,17:30,Eint Frankfurt,1.1,1–2,0.9,Freiburg,47000.0,Commerzbank-Arena,Felix Brych
290,Regular Season,Sun,2022-04-10,19:30,RB Leipzig,1.5,3–0,0.2,Hoffenheim,35112.0,Red Bull Arena,Bastian Dankert
292,Regular Season,Sat,2022-04-16,15:30,Dortmund,2.8,6–1,1.3,Wolfsburg,79200.0,Signal Iduna Park,Robert Schröder
293,Regular Season,Sat,2022-04-16,15:30,Mainz 05,0.6,0–0,0.6,Stuttgart,30128.0,Opel Arena,Florian Badstübner
294,Regular Season,Sat,2022-04-16,15:30,Freiburg,1.8,3–0,0.7,Bochum,34000.0,Europa-Park Stadion,Sascha Stegemann
295,Regular Season,Sat,2022-04-16,15:30,Augsburg,1.3,0–1,1.0,Hertha BSC,28533.0,WWK Arena,Marco Fritz
296,Regular Season,Sat,2022-04-16,18:30,M'Gladbach,2.0,1–3,2.3,Köln,54042.0,Stadion im Borussia-Park,Deniz Aytekin
297,Regular Season,Sun,2022-04-17,15:30,Arminia,0.7,0–3,2.2,Bayern Munich,26419.0,SchücoArena,Matthias Jöllenbeck
298,Regular Season,Sun,2022-04-17,17:30,Union Berlin,1.2,2–0,0.5,Eint Frankfurt,22000.0,Stadion An der Alten Försterei,Frank Willenborg
299,Regular Season,Sun,2022-04-17,17:30,Hoffenheim,0.8,0–0,0.5,Greuther Fürth,16110.0,PreZero Arena,Felix Zwayer
300,Regular Season,Sun,2022-04-17,19:30,Leverkusen,0.7,0–1,0.6,RB Leipzig,26119.0,BayArena,Daniel Siebert
400,Regular Season,Sun,2020-11-01,15:30,Freiburg,1.1,2–4,1.5,Leverkusen,,Schwarzwald-Stadion,Benjamin Cortus
401,Regular Season,Sun,2020-11-01,18:00,Hertha BSC,1.2,1–1,0.5,Wolfsburg,,Olympiastadion Berlin,Martin Petersen
402,Regular Season,Mon,2020-11-02,20:30,Hoffenheim,1.3,1–3,4.0,Union Berlin,,PreZero Arena,Robert Hartmann
404,Regular Season,Fri,2020-11-06,20:30,Werder Bremen,1.7,1–1,0.4,Köln,,Weserstadion,Florian Badstübner
405,Regular Season,Sat,2020-11-07,15:30,Stuttgart,2.3,2–2,2.4,Eint Frankfurt,,Mercedes-Benz Arena,Sascha Stegemann
406,Regular Season,Sat,2020-11-07,15:30,Mainz 05,3.1,2–2,1.7,Schalke 04,,Opel Arena,Patrick Ittrich
407,Regular Season,Sat,2020-11-07,15:30,Union Berlin,2.1,5–0,0.3,Arminia,,Stadion An der Alten Försterei,Matthias Jöllenbeck
408,Regular Season,Sat,2020-11-07,15:30,RB Leipzig,2.0,3–0,1.0,Freiburg,,Red Bull Arena,Felix Zwayer
409,Regular Season,Sat,2020-11-07,15:30,Augsburg,0.7,0–3,2.4,Hertha BSC,,WWK Arena,Frank Willenborg
410,Regular Season,Sat,2020-11-07,18:30,Dortmund,2.0,2–3,1.1,Bayern Munich,,Signal Iduna Park,Manuel Gräfe
411,Regular Season,Sun,2020-11-08,15:30,Wolfsburg,2.0,2–1,2.0,Hoffenheim,,Volkswagen Arena,Sven Jablonski
412,Regular Season,Sun,2020-11-08,18:00,Leverkusen,1.6,4–3,2.5,M'Gladbach,,BayArena,Harm Osmers
414,Regular Season,Sat,2020-11-21,15:30,Arminia,0.0,1–2,1.5,Leverkusen,,SchücoArena,Felix Brych
415,Regular Season,Sat,2020-11-21,15:30,Hoffenheim,1.9,3–3,2.1,Stuttgart,,PreZero Arena,Daniel Siebert
416,Regular Season,Sat,2020-11-21,15:30,Bayern Munich,1.2,1–1,1.4,Werder Bremen,,Allianz Arena,Guido Winkmann
417,Regular Season,Sat,2020-11-21,15:30,Schalke 04,0.9,0–2,2.1,Wolfsburg,,Veltins-Arena,Marco Fritz
418,Regular Season,Sat,2020-11-21,15:30,M'Gladbach,2.0,1–1,0.7,Augsburg,,Stadion im Borussia-Park,Markus Schmidt
419,Regular Season,Sat,2020-11-21,18:30,Eint Frankfurt,1.1,1–1,0.9,RB Leipzig,,Commerzbank-Arena,Sören Storks
420,Regular Season,Sat,2020-11-21,20:30,Hertha BSC,1.3,2–5,3.5,Dortmund,,Olympiastadion Berlin,Bastian Dankert
421,Regular Season,Sun,2020-11-22,15:30,Freiburg,2.2,1–3,2.8,Mainz 05,,Schwarzwald-Stadion,Martin Petersen
422,Regular Season,Sun,2020-11-22,18:00,Köln,0.7,1–2,1.9,Union Berlin,,RheinEnergieSTADION,Tobias Stieler
424,Regular Season,Fri,2020-11-27,20:30,Wolfsburg,1.8,5–3,1.0,Werder Bremen,,Volkswagen Arena,Christian Dingert
425,Regular Season,Sat,2020-11-28,15:30,RB Leipzig,2.3,2–1,1.3,Arminia,,Red Bull Arena,Robert Hartmann
426,Regular Season,Sat,2020-11-28,15:30,Augsburg,0.4,1–1,0.8,Freiburg,,WWK Arena,Robert Schröder
427,Regular Season,Sat,2020-11-28,15:30,Dortmund,2.9,1–2,1.6,Köln,,Signal Iduna Park,Benjamin Brand
428,Regular Season,Sat,2020-11-28,15:30,Stuttgart,1.8,1–3,1.0,Bayern Munich,,Mercedes-Benz Arena,Harm Osmers
429,Regular Season,Sat,2020-11-28,15:30,Union Berlin,2.8,3–3,2.0,Eint Frankfurt,,Stadion An der Alten Försterei,Tobias Reichel
430,Regular Season,Sat,2020-11-28,18:30,M'Gladbach,3.1,4–1,1.0,Schalke 04,,Stadion im Borussia-Park,Manuel Gräfe
431,Regular Season,Sun,2020-11-29,15:30,Leverkusen,0.7,0–0,0.4,Hertha BSC,,BayArena,Daniel Schlager
432,Regular Season,Sun,2020-11-29,18:00,Mainz 05,1.4,1–1,1.0,Hoffenheim,,Opel Arena,Sascha Stegemann
434,Regular Season,Fri,2020-12-04,20:30,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych
435,Regular Season,Sat,2020-12-05,15:30,Eint Frankfurt,0.8,1–1,1.2,Dortmund,,Commerzbank-Arena,Guido Winkmann
436,Regular Season,Sat,2020-12-05,15:30,Freiburg,3.3,2–2,1.3,M'Gladbach,,Schwarzwald-Stadion,Tobias Stieler
437,Regular Season,Sat,2020-12-05,15:30,Köln,0.7,2–2,1.6,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski
438,Regular Season,Sat,2020-12-05,15:30,Arminia,0.8,2–1,2.0,Mainz 05,,SchücoArena,Marco Fritz
439,Regular Season,Sat,2020-12-05,18:30,Bayern Munich,1.2,3–3,1.5,RB Leipzig,,Allianz Arena,Daniel Siebert
440,Regular Season,Sun,2020-12-06,15:30,Werder Bremen,0.8,1–2,2.3,Stuttgart,,Weserstadion,Frank Willenborg
441,Regular Season,Sun,2020-12-06,18:00,Schalke 04,1.3,0–3,2.5,Leverkusen,,Veltins-Arena,Benjamin Cortus
442,Regular Season,Mon,2020-12-07,20:30,Hoffenheim,1.4,3–1,0.9,Augsburg,,PreZero Arena,Florian Badstübner
444,Regular Season,Fri,2020-12-11,20:30,Wolfsburg,2.8,2–1,1.5,Eint Frankfurt,,Volkswagen Arena,Markus Schmidt
445,Regular Season,Sat,2020-12-12,15:30,Freiburg,2.7,2–0,0.2,Arminia,,Schwarzwald-Stadion,Harm Osmers
446,Regular Season,Sat,2020-12-12,15:30,Dortmund,0.9,1–5,3.9,Stuttgart,,Signal Iduna Park,Christian Dingert
447,Regular Season,Sat,2020-12-12,15:30,Mainz 05,1.7,0–1,1.0,Köln,,Opel Arena,Felix Zwayer
448,Regular Season,Sat,2020-12-12,15:30,RB Leipzig,2.7,2–0,0.4,Werder Bremen,,Red Bull Arena,Sören Storks
449,Regular Season,Sat,2020-12-12,15:30,M'Gladbach,1.4,1–1,0.5,Hertha BSC,,Stadion im Borussia-Park,Robert Hartmann
450,Regular Season,Sat,2020-12-12,18:30,Union Berlin,1.3,1–1,0.9,Bayern Munich,,Stadion An der Alten Försterei,Bastian Dankert
451,Regular Season,Sun,2020-12-13,15:30,Augsburg,1.0,2–2,1.9,Schalke 04,,WWK Arena,Manuel Gräfe
452,Regular Season,Sun,2020-12-13,18:00,Leverkusen,2.3,4–1,1.6,Hoffenheim,,BayArena,Martin Petersen
454,Regular Season,Tue,2020-12-15,18:30,Eint Frankfurt,2.2,3–3,1.6,M'Gladbach,,Commerzbank-Arena,Benjamin Cortus
455,Regular Season,Tue,2020-12-15,20:30,Hertha BSC,0.6,0–0,0.5,Mainz 05,,Olympiastadion Berlin,Matthias Jöllenbeck
456,Regular Season,Tue,2020-12-15,20:30,Stuttgart,1.7,2–2,0.8,Union Berlin,,Mercedes-Benz Arena,Sascha Stegemann
457,Regular Season,Tue,2020-12-15,20:30,Werder Bremen,0.2,1–2,2.8,Dortmund,,Weserstadion,Robert Schröder
458,Regular Season,Wed,2020-12-16,18:30,Schalke 04,0.4,0–2,1.4,Freiburg,,Veltins-Arena,Sven Jablonski
459,Regular Season,Wed,2020-12-16,20:30,Köln,0.6,0–4,1.4,Leverkusen,,RheinEnergieSTADION,Tobias Stieler
460,Regular Season,Wed,2020-12-16,20:30,Arminia,0.8,0–1,0.6,Augsburg,,SchücoArena,Patrick Ittrich
